"","ano_mes_dia","consumo"
"202",2020-10-01,42923614.501
"203",2020-11-01,41430693.7899
"204",2020-12-01,42161402.53
"205",2021-01-01,43093327.86
"206",2021-02-01,41507062.79
"207",2021-03-01,43661452.061
"208",2021-04-01,42657441.68
"209",2021-05-01,40784638
"210",2021-06-01,40428922.63
"211",2021-07-01,40190502.12
"212",2021-08-01,40908016.07
"213",2021-09-01,41952552.08
"214",2021-10-01,42596650.581
"215",2021-11-01,41869275.911
"216",2021-12-01,42915950.78
"217",2022-01-01,42532862.36
"218",2022-02-01,41850671.71
"219",2022-03-01,44672352.52
"220",2022-04-01,43210840.67
"221",2022-05-01,42050012.731
"222",2022-06-01,40938867.979
"223",2022-07-01,41232572.95
"224",2022-08-01,42172537.35
"225",2022-09-01,42277566.52
"226",2022-10-01,42486027.329
"227",2022-11-01,42786612.83
"228",2022-12-01,43230081.04
"229",2023-01-01,42814136.52
"230",2023-02-01,42898045.13
"231",2023-03-01,45713677.44
"232",2023-04-01,44721023.62
"233",2023-05-01,43184813.87
"234",2023-06-01,42567780.11
"235",2023-07-01,41941059.83
"236",2023-08-01,43404361.4601
"237",2023-09-01,44462035.671
